,epoch,loss,loss_dpo,loss_llh
119,120.0,0.00031798132,0.00031194728,6.034051e-06
120,121.0,0.00030989913,0.00030345866,6.4404967e-06
121,122.0,0.00030038922,0.00029450993,5.8793116e-06
122,123.0,0.00029140452,0.0002859954,5.409129e-06
123,124.0,0.00029006577,0.0002846937,5.372083e-06
124,125.0,0.00027140492,0.00026562053,5.784406e-06
125,126.0,0.0002620213,0.00025613778,5.8835235e-06
126,127.0,0.0002575281,0.00025284465,4.6834293e-06
127,128.0,0.00024255547,0.00023647159,6.0838843e-06
128,129.0,0.00023948972,0.00023470387,4.7858566e-06
129,130.0,0.00022528978,0.00022068335,4.6064347e-06
130,131.0,0.00021419617,0.00021010813,4.0880436e-06
131,132.0,0.00021651419,0.00021192817,4.5860265e-06
132,133.0,0.00020591058,0.00020172185,4.1887224e-06
133,134.0,0.00020230857,0.00019878511,3.5234518e-06
134,135.0,0.00019490397,0.00019104494,3.859024e-06
135,136.0,0.00018532135,0.0001815501,3.7712496e-06
136,137.0,0.00017657662,0.00017218917,4.387439e-06
137,138.0,0.00017349125,0.00017003882,3.4524246e-06
138,139.0,0.00017522437,0.00017131971,3.904654e-06
139,140.0,0.00016067663,0.00015702403,3.6526058e-06
140,141.0,0.00015557355,0.00015176572,3.80783e-06
141,142.0,0.00015239276,0.00014916295,3.2298058e-06
142,143.0,0.00014925611,0.00014587188,3.384243e-06
143,144.0,0.00014345374,0.00014028647,3.1672705e-06
144,145.0,0.00014317333,0.00013983327,3.3400524e-06
145,146.0,0.00013284602,0.00013006464,2.7813924e-06
146,147.0,0.00013196308,0.00012849178,3.4713096e-06
147,148.0,0.00012797504,0.0001253467,2.6283321e-06
148,149.0,0.00012357534,0.00012085563,2.71972e-06
149,150.0,0.00011853897,0.00011621552,2.3234563e-06
150,151.0,0.0001130488,0.000110197834,2.850969e-06
151,152.0,0.00011180376,0.0001092587,2.5450709e-06
152,153.0,0.00010624868,0.000104000996,2.2476806e-06
153,154.0,0.00010173461,9.985574e-05,1.8788742e-06
154,155.0,0.00010150221,9.889029e-05,2.6119264e-06
155,156.0,9.750837e-05,9.5196796e-05,2.3115751e-06
156,157.0,9.369981e-05,9.159074e-05,2.1090761e-06
157,158.0,9.1730726e-05,8.9757545e-05,1.9731813e-06
158,159.0,9.078558e-05,8.901825e-05,1.7673246e-06
159,160.0,8.5206906e-05,8.3184525e-05,2.0223836e-06
160,161.0,8.361083e-05,8.175761e-05,1.853219e-06
161,162.0,8.061156e-05,7.878631e-05,1.8252482e-06
162,163.0,7.816817e-05,7.651489e-05,1.6532856e-06
163,164.0,7.503714e-05,7.326711e-05,1.7700247e-06
