,no,time,energy
0,0,61.098926067352295,0.12196266218249789
1,1,61.7878520488739,0.7643474831156272
2,2,60.05143713951111,0.14856286173956093
3,3,61.009044885635376,0.16112226729564755
4,4,59.70179581642151,0.12329848649450621
5,5,63.53822684288025,0.11439182423547072
6,6,61.23315191268921,0.12567185968902952
7,7,62.33177185058594,0.7454119221850085
8,8,64.77895307540894,0.4183296579518651
