,step,proposed,current,best
0,0,0.4590318524481529,0.4590318524481529,0.4590318524481529
1,1,0.3938584424499607,0.3938584424499607,0.3938584424499607
2,2,0.37534498932778526,0.37534498932778526,0.37534498932778526
3,3,0.4393980543341121,0.37534498932778526,0.37534498932778526
4,4,0.3606450037024463,0.3606450037024463,0.3606450037024463
5,5,0.32697798246080667,0.32697798246080667,0.32697798246080667
6,6,0.58902424184541,0.32697798246080667,0.32697798246080667
7,7,0.2731314068336601,0.2731314068336601,0.2731314068336601
8,8,0.40945838495131653,0.2731314068336601,0.2731314068336601
9,9,0.36669149308162646,0.2731314068336601,0.2731314068336601
10,10,0.304018269954028,0.2731314068336601,0.2731314068336601
11,11,0.2937382412047059,0.2731314068336601,0.2731314068336601
12,12,0.335171608078915,0.2731314068336601,0.2731314068336601
13,13,0.31127144995764333,0.2731314068336601,0.2731314068336601
14,14,0.25029132058569376,0.25029132058569376,0.25029132058569376
15,15,0.35614475933320816,0.25029132058569376,0.25029132058569376
16,16,0.3576446874599029,0.25029132058569376,0.25029132058569376
17,17,0.4271575368463138,0.25029132058569376,0.25029132058569376
18,18,0.24924451496397013,0.24924451496397013,0.24924451496397013
19,19,0.4328907743485733,0.24924451496397013,0.24924451496397013
20,20,0.4175708030978955,0.24924451496397013,0.24924451496397013
21,21,0.26123113371509993,0.24924451496397013,0.24924451496397013
22,22,0.29422487433049677,0.24924451496397013,0.24924451496397013
23,23,0.4609509324698451,0.24924451496397013,0.24924451496397013
24,24,0.7408839112282056,0.24924451496397013,0.24924451496397013
25,25,0.4697240549748162,0.24924451496397013,0.24924451496397013
26,26,0.5154039974761718,0.24924451496397013,0.24924451496397013
27,27,0.3217576805929244,0.24924451496397013,0.24924451496397013
28,28,0.364797565595636,0.24924451496397013,0.24924451496397013
29,29,0.34118435684269854,0.24924451496397013,0.24924451496397013
30,30,0.3155643424680374,0.24924451496397013,0.24924451496397013
31,31,0.2537179968354678,0.24924451496397013,0.24924451496397013
32,32,0.7671304293567079,0.24924451496397013,0.24924451496397013
33,33,0.3024643568426984,0.24924451496397013,0.24924451496397013
34,34,0.47281071684992915,0.24924451496397013,0.24924451496397013
35,35,0.4203774937223305,0.24924451496397013,0.24924451496397013
36,36,0.7147505012300133,0.24924451496397013,0.24924451496397013
37,37,0.4729640837241383,0.24924451496397013,0.24924451496397013
38,38,0.26123113371509993,0.24924451496397013,0.24924451496397013
39,39,0.36918447183998704,0.24924451496397013,0.24924451496397013
40,40,0.24998458683727545,0.24924451496397013,0.24924451496397013
41,41,0.2938643855920206,0.24924451496397013,0.24924451496397013
42,42,0.26907124871238847,0.24924451496397013,0.24924451496397013
43,43,0.34513094684450624,0.24924451496397013,0.24924451496397013
44,44,0.5131374649730085,0.24924451496397013,0.24924451496397013
45,45,0.35157097559382827,0.24924451496397013,0.24924451496397013
46,46,0.4395374649730085,0.24924451496397013,0.24924451496397013
47,47,0.24737803995945096,0.24737803995945096,0.24737803995945096
48,48,0.31674450058930914,0.24737803995945096,0.24737803995945096
49,49,0.2536111768390831,0.24737803995945096,0.24737803995945096
50,50,0.3004845437132923,0.24737803995945096,0.24737803995945096
0,51,0.45686516182371795,0.45686516182371795,0.45686516182371795
1,52,0.4273651186997347,0.4273651186997347,0.4273651186997347
2,53,0.5020852336970232,0.4273651186997347,0.4273651186997347
3,54,0.38898490307981876,0.38898490307981876,0.38898490307981876
4,55,0.3311181980807227,0.3311181980807227,0.3311181980807227
5,56,0.4452583562019943,0.3311181980807227,0.3311181980807227
6,57,0.38222464433591974,0.3311181980807227,0.3311181980807227
7,58,0.38469829870335004,0.3311181980807227,0.3311181980807227
8,59,0.3991183130780112,0.3311181980807227,0.3311181980807227
9,60,0.3718715362056097,0.3311181980807227,0.3311181980807227
10,61,0.3749246874599029,0.3311181980807227,0.3311181980807227
11,62,0.31231127746171056,0.31231127746171056,0.31231127746171056
12,63,0.3415778962128404,0.31231127746171056,0.31231127746171056
13,64,0.37569780996487395,0.31231127746171056,0.31231127746171056
14,65,0.34674490307981887,0.31231127746171056,0.31231127746171056
15,66,0.3228379968354678,0.31231127746171056,0.31231127746171056
